412,Enterobacteria phage ID2 Moscow/ID/2001,Escherichia coli
413,Enterobacteria phage WA13,Escherichia coli
414,Enterobacteria phage ID18,Escherichia coli
415,Escherichia phage bV_EcoS_AKFV33,Escherichia coli
416,Stx2-converting phage 86,Escherichia coli
417,Enterobacteria phage N4,Escherichia coli
418,Phage cdtI,Escherichia coli
419,Enterobacteria phage TLS,Escherichia coli
420,Enterobacteria phage Phi1,Escherichia coli
421,Enterobacteria phage phiEcoM-GJ1,Escherichia coli
422,Enterobacteria phage JS98,Escherichia coli
423,Enterobacteria phage phiEco32,Escherichia coli
424,Enterobacteria phage Min27,Escherichia coli
425,Enterobacteria phage EPS7,Escherichia coli
426,Enterobacteria phage BA14,Escherichia coli
427,Enterobacteria phage EcoDS1,Escherichia coli
428,Enterobacteria phage 13a,Escherichia coli
429,Stx2-converting phage 1717,Escherichia coli
430,Enterobacteria phage YYZ-2008,Escherichia coli
431,Enterobacteria phage JSE,Escherichia coli
432,Enterobacteria phage JS10,Escherichia coli
433,Enterobacteria phage WV8,Escherichia coli
434,Enterobacteria phage St-1,Escherichia coli
435,Escherichia phage D108,Escherichia coli
436,Enterobacteria phage IME08,Escherichia coli
437,Enterobacteria phage RB16,Escherichia coli
438,Enterobacteria phage CC31,Escherichia coli
439,Enterobacteria phage vB_EcoM-VR7,Escherichia coli
440,Enterobacteria phage 285P,Escherichia coli
441,Escherichia phage HK639,Escherichia coli
442,Escherichia phage HK75,Escherichia coli
443,Escherichia phage vB_EcoM_CBA120,Escherichia coli
444,Escherichia phage P13374,Escherichia coli
445,Escherichia phage KBNP21,Escherichia coli
446,Escherichia phage KBNP135,Escherichia coli
447,Enterobacteria phage vB_EcoM_ACG-C40,Escherichia coli
448,Enterobacteria phage vB_EcoP_ACG-C91,Escherichia coli
449,Escherichia phage TL-2011c,Escherichia coli
450,Escherichia phage TL-2011b,Escherichia coli
451,Enterobacteria phage Bp7,Escherichia coli
452,Enterobacteria phage IME10,Escherichia coli
453,Enterobacteria phage ime09,Escherichia coli
454,Escherichia phage wV7,Escherichia coli
455,Enterobacteria phage NJ01,Escherichia coli
456,Enterobacteria phage HX01,Escherichia coli
457,Enterobacter phage IME11,Escherichia coli
458,Enterobacteria phage vB_EcoM-FV3,Escherichia coli
459,Escherichia coli bacteriophage rv5,Escherichia coli
460,Escherichia phage PhaxI,Escherichia coli
461,Enterobacteria phage phiX174 sensu lato,Escherichia coli
462,Enterobacteria phage VT2-Sakai,Escherichia coli
463,Enterobacteria phage P1,Escherichia coli
464,Enterobacteria phage K1-5,Escherichia coli
465,Escherichia phage 2 JES-2013,Escherichia coli
466,Enterobacteria phage AR1,Escherichia coli
467,Enterobacteria phage CUS-3,Escherichia coli
468,Enterobacteria phage ID21,Escherichia coli
469,Enterobacteria phage ID32,Escherichia coli
470,Enterobacteria phage NC35,Escherichia coli
471,Enterobacteria phage WA45,Escherichia coli
472,Enterobacteria phage NC28,Escherichia coli
473,Enterobacteria phage ID62,Escherichia coli
474,Enterobacteria phage ID52,Escherichia coli
475,Enterobacteria phage NC3,Escherichia coli
476,Enterobacteria phage NC29,Escherichia coli
477,Enterobacteria phage ID1,Escherichia coli
478,Enterobacteria phage ID22,Escherichia coli
479,Enterobacteria phage ID34,Escherichia coli
480,Enterobacteria phage ID45,Escherichia coli
481,Enterobacteria phage NC1,Escherichia coli
482,Enterobacteria phage NC5,Escherichia coli
483,Enterobacteria phage NC7,Escherichia coli
484,Enterobacteria phage NC11,Escherichia coli
485,Enterobacteria phage NC16,Escherichia coli
486,Enterobacteria phage NC37,Escherichia coli
487,Enterobacteria phage NC41,Escherichia coli
488,Enterobacteria phage NC51,Escherichia coli
489,Enterobacteria phage NC56,Escherichia coli
490,Enterobacteria phage WA4,Escherichia coli
491,Enterobacteria phage WA10,Escherichia coli
492,Enterobacteria phage WA11,Escherichia coli
493,Enterobacteria phage WA2,Escherichia coli
494,Enterobacteria phage WA3,Escherichia coli
495,Enterobacteria phage ID8,Escherichia coli
496,Enterobacteria phage WA5,Escherichia coli
497,Enterobacteria phage NC2,Escherichia coli
498,Enterobacteria phage NC13,Escherichia coli
499,Enterobacteria phage NC19,Escherichia coli
500,Enterobacteria phage ID41,Escherichia coli
501,Enterobacteria phage WA6,Escherichia coli
502,Enterobacteria phage ID12,Escherichia coli
503,Enterobacteria phage NC10,Escherichia coli
504,Enterobacteria phage NC6,Escherichia coli
505,Enterobacteria phage WA14,Escherichia coli
506,Enterobacteria phage phiX174,Escherichia coli
507,Enterobacteria phage DE3,Escherichia coli
508,Enterobacteria phage BZ13,Escherichia coli
509,Enterobacteria phage 2851,Escherichia coli
510,Enterobacteria phage phi92,Escherichia coli
511,Escherichia phage K1-dep(4),Escherichia coli
512,Escherichia phage K1-dep(1),Escherichia coli
513,Escherichia phage K1-ind(1),Escherichia coli
514,Escherichia phage K1-ind(2),Escherichia coli
